accuracy,f1_score,Disparate Impact,Equal Opportunity,Equalized Odds,Predictive Parity,N-Sigma (ErrorRate),Average distance from origin
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.1413750980269845
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.1413752696962974
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.1413749060743244
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.1413749633781219
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.14137545644610275
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.14137558259428054
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.14137536943773577
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.14137566536130747
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.14137551866417186
0.5876777251184834,0.5748439962468163,1.0095238095238095,0.3611110858410511,0.3611110858410511,0.29999998238095343,0.11937254226799006,0.1413753642750554
